2023-12-04-17-24-04_activity-import-format-1-xls, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-180. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-181. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-182. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-183. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-184. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-185. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-186. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-187. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-188. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-189. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-190. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-192. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-193. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-194. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-195. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-196. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-197. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-198. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-199. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-200. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-202. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-203. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-204. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-205. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-206. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-207. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-208. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-209. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-210. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-211. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-212. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-213. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-214. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-215. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-216. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-217. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-219. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-220. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-221. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-222. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-223. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-224. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-225. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-226. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-227. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-228. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-229. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-230. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-232. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-233. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-234. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-235. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-236. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-237. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-238. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-239. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-240. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-241. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-242. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-243. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-244. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
