2023-11-30-13-08-58_transfer-import-format-12-xls, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-120. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-121. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-122. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-123. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-124. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-125. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-126. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-127. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-128. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-129. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-130. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-131. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-132. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-133. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-134. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-135. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-136. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-137. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-138. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-139. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-140. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-141. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-142. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-143. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-144. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-145. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-146. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-147. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-148. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-149. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-150. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-151. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-152. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-153. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-154. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-155. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-156. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-157. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-158. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-159. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-160. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-161. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-162. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-163. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-164. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-165. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-166. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-167. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-168. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-169. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-170. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-171. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-172. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-173. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-174. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-175. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-176. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-177. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-178. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-179. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-180. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-181. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-182. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
